#UKIRT K-band (2.2 um) LF at z=0 from Driver et al. 2012, MNRAS, 427, 3244
#
#GAMA LF derived via 1/VMax 
#with corrections for galactic extinction, 
#the local flow and redshift incompleteness, 
#the L* density is recalibrated to the SDSS main survey
#and magnitudes are k-corrected to z=0.
#
#Data assumes Ho =100 h km s-1 Mpc-1, omegam = 0.27 
# and lambda = 0.73 (Komatsu et al 2011) 
#
#Columns:
#
#1 mag of bin centre: M_AB - 5logh
#2 space density in (Mpc/h)-3 (0.5 mag_AB)-1
#3 error, 1-sigma, on space density
#4 number of actual galaxies in sample
 -26.75  0.  0.  0.
 -26.25  0.  0.  0.
 -25.75  0.  0.  0.
 -25.25  0.  0.  0.
 -24.75  0.  0.  0.
 -24.25  0.  0.  0.
 -23.75  7.52773167E-06  5.32291006E-06  2.
 -23.25  3.01109249E-05  1.06458192E-05  8.
 -22.75  0.000286053575  3.28125934E-05  76.
 -22.25  0.00084686873  5.64579132E-05  225.
 -21.75  0.00187439716  8.3993742E-05  498.
 -21.25  0.0028680684  0.000103899161  762.
 -20.75  0.00361153041  0.0001175453  944.
 -20.25  0.00371022988  0.000118277807  984.
 -19.75  0.00411500549  0.000124811791  1087.
 -19.25  0.00443232432  0.000132087676  1126.
 -18.75  0.005041203  0.000181319469  773.
 -18.25  0.00610295823  0.000290947093  440.
 -17.75  0.00581246149  0.000397331693  214.
 -17.25  0.00843320228  0.000700339326  145.
 -16.75  0.011090152  0.00113782554  95.
 -16.25  0.0136665963  0.00187725143  53.
 -15.75  0.00802378822  0.00207173312  15.
 -15.25  0.0172474626  0.0057491539  9.
 -14.75  0.  0.  0.
 -14.25  0.  0.  0.
 -13.75  0.  0.  0.
 -13.25  0.  0.  0.
 -12.75  0.  0.  0.
 -12.25  0.  0.  0.
 -11.75  0.  0.  0.
 -11.25  0.  0.  0.
 -10.75  0.  0.  0.
 -10.25  0.  0.  0.
 -9.75  0.  0.  0.
 -9.25  0.  0.  0.
 -8.75  0.  0.  0.
 -8.25  0.  0.  0.
 -7.75  0.  0.  0.
 -7.25  0.  0.  0.
 -6.75  0.  0.  0.
 -6.25  0.  0.  0.
 -5.75  0.  0.  0.
 -5.25  0.  0.  0.
 -4.75  0.  0.  0.
 -4.25  0.  0.  0.
 -3.75  0.  0.  0.
 -3.25  0.  0.  0.
 -2.75  0.  0.  0.
 -2.25  0.  0.  0.
