#From Mauch & Salder (2007) for AGN galaxies
#Assumed h0=0.7
#log10(L1p4/W Hz^-1) log(phi) err_up err_dn
 20.4    -3.63 0.23 0.54
 20.8    -3.77 0.11 0.15
 21.2    -4.01 0.09 0.11
 21.6    -4.04 0.05 0.06
 22.0    -4.18 0.04 0.04
 22.4    -4.35 0.03 0.03
 22.8    -4.62 0.02 0.03
 23.2    -4.91 0.03 0.03
 23.6    -5.09 0.03 0.03
 24.0    -5.36 0.03 0.03
 24.4    -5.57 0.04 0.04
 24.8    -6.03 0.06 0.07
 25.2    -6.33 0.08 0.09
 25.6    -6.74 0.16 0.27
 26.0    -7.30 0.25 0.68
 26.4    -8.12 0.27 0.85
