#From David Sobral.
#Phi is in units of Mpc^-3 dex^-1.
#
# Bin_LogL_unc   Bin_LogL_corr   Delta_Bin   N_sources   Poiss_err   Obs_Phi   err_obs_phi   Corr_Phi   err_corr_phi   Volume_top_hat
41.70   42.10   0.05         25   5        -2.20   0.10        -2.13   0.10     39672
41.80   42.20   0.05         32   5        -2.37   0.08        -2.25   0.09     74989
41.90   42.30   0.05         62   7        -2.55   0.06        -2.34   0.06     220634
42.00   42.40   0.05         86   9        -2.67   0.05        -2.47   0.05     398674
42.10   42.50   0.05         101   10        -2.77   0.05        -2.61   0.05     596910
42.20   42.60   0.05         106   10        -2.82   0.04        -2.72   0.04     696841
42.30   42.70   0.05         43   6        -3.22   0.07        -2.90   0.08     713712
42.40   42.80   0.05         23   4        -3.49   0.10        -3.17   0.11     713712
42.50   42.90   0.05         9   3        -3.90   0.18        -3.54   0.18     713712
42.60   43.00   0.05         5   2        -4.16   0.26        -3.80   0.26     718959
42.70   43.10   0.05         3   1        -4.38   0.37        -4.21   0.38     718959
42.80   43.20   0.05         2   1        -4.56   0.53        -4.54   0.55     718959
43.00   43.40   0.10         2   1        -4.56   0.53        -4.85   0.55     718959
